SERIE,NVONRO,NSEGRUP,NSE,SEXO,GEDAD,EDAD,NIVEDU,P10A,P10B,P10C,P11A,P11B,P11C,P12A,P12B,P12C,P12D,P12E,P12F,P12G,P12H,P13A,P13B,P13C,P13D,P13E,P13F,P13G,P13H,index_O,index_B
2012,20120069,C,3,Mujer,1,19,SuperiorTecnicaincompleta,3,3,3,3,3,3,1,1,1,0,0,0,0,1,1,2,2,1,1,1,1,1,4,1
2012,20120070,C,3,Mujer,1,29,Superiortecnica completa,3,3,4,2,3,3,0,1,0,0,0,0,0,0,1,2,2,1,1,1,1,1,1,1
2012,20120071,C,3,Hombre,3,46,Superiortecnica completa,3,3,4,2,3,3,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0
2012,20120072,C,3,Hombre,2,40,Superior universitaria completa,3,3,4,3,3,3,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0
2012,20120073,DE,4,Mujer,2,31,SecundariaCompleta,3,3,3,1,2,3,0,0,0,0,0,0,0,0,2,2,2,2,2,1,1,1,0,0
2012,20120074,C,3,Mujer,2,38,Superiortecnica completa,3,4,4,3,3,3,1,0,0,0,0,0,0,0,2,2,2,2,1,2,1,1,1,1
2012,20120075,C,3,Hombre,3,57,SecundariaCompleta,2,3,3,3,3,3,0,0,0,0,0,0,0,0,2,2,2,1,2,1,1,1,0,0
2012,20120076,DE,4,Mujer,3,58,Inicial,2,3,3,3,3,3,0,0,0,0,0,0,0,0,2,2,2,2,1,1,1,1,0,0
2012,20120077,DE,4,Mujer,1,22,SecundariaCompleta,3,3,3,2,2,2,1,1,1,0,0,0,0,1,2,2,2,2,1,1,1,1,4,1
2012,20120078,DE,4,Hombre,1,27,Superiortecnica completa,2,3,3,2,3,3,0,0,0,0,0,0,0,0,2,2,2,2,2,1,1,1,0,0
2012,20120079,DE,4,Mujer,1,22,SecundariaIncompleta,2,3,3,2,2,2,0,0,0,0,0,0,0,0,2,2,2,2,1,2,1,1,0,0
2012,20120080,DE,4,Hombre,2,35,Superiortecnica completa,2,3,3,2,3,3,1,1,0,1,0,0,0,0,2,2,2,2,2,1,1,2,3,1
2012,20120081,AB,2,Mujer,3,53,Superiortecnica completa,2,2,3,3,3,3,1,1,0,1,0,0,0,1,1,2,2,1,1,1,1,1,4,1
2012,20120082,C,3,Hombre,1,28,SecundariaIncompleta,3,4,4,2,2,2,1,1,0,0,1,0,0,1,1,2,2,1,2,1,1,1,4,1
2012,20120083,AB,2,Hombre,2,42,Superior universitaria incompleta,3,4,4,3,3,3,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0
2012,20120084,DE,4,Hombre,3,47,SecundariaCompleta,3,3,3,3,3,3,0,0,0,0,0,0,0,0,1,2,2,1,1,1,1,1,0,0
2012,20120085,C,3,Hombre,2,40,SecundariaIncompleta,1,2,3,3,3,3,0,0,0,1,0,0,0,0,1,1,2,1,1,1,1,1,1,1
2012,20120086,C,3,Mujer,1,22,Superior universitaria completa,3,4,4,2,2,2,0,1,1,0,0,0,0,1,2,2,2,1,1,1,1,1,3,1
2012,20120087,C,3,Mujer,1,24,SecundariaCompleta,3,3,4,3,3,3,0,1,0,0,0,0,0,0,1,2,2,1,1,1,1,1,1,1
2012,20120088,DE,4,Mujer,2,42,Superiortecnica completa,3,4,4,2,2,2,0,0,0,0,0,0,0,0,1,2,2,1,1,1,1,1,0,0
2012,20120089,AB,2,Hombre,3,58,SecundariaCompleta,3,3,3,3,3,3,0,0,0,0,0,0,0,0,2,2,2,1,1,1,1,1,0,0
2012,20120090,DE,4,Mujer,1,29,Primaria,3,3,3,3,3,3,0,0,0,0,0,0,0,1,2,2,2,2,2,1,1,1,1,1
2012,20120091,DE,4,Mujer,3,45,SecundariaCompleta,3,3,3,3,3,3,0,0,0,0,0,0,0,1,2,2,2,2,2,1,1,1,1,1
2012,20120092,C,3,Mujer,2,38,SecundariaCompleta,2,3,3,2,3,3,0,0,0,0,0,0,0,0,2,2,2,2,2,1,1,1,0,0
2012,20120093,C,3,Hombre,1,20,Superior universitaria incompleta,3,3,3,2,2,2,0,0,0,0,0,0,0,0,2,2,2,2,1,1,1,1,0,0
2012,20120094,DE,4,Hombre,2,42,SuperiorTecnicaincompleta,3,4,4,2,2,2,0,0,0,1,0,0,0,0,2,2,2,1,1,1,1,1,1,1
2012,20120095,DE,4,Mujer,1,24,SecundariaCompleta,3,3,3,3,3,3,0,1,1,0,0,0,0,0,2,2,2,2,2,2,1,1,2,1
2012,20120096,C,3,Hombre,1,24,SecundariaCompleta,2,3,3,3,3,3,0,0,0,0,0,0,0,0,2,2,2,2,2,1,1,1,0,0
2012,20120097,DE,4,Mujer,1,23,Primaria,3,4,4,1,2,1,1,0,0,1,0,0,0,0,2,2,2,2,2,2,2,2,2,1
2012,20120098,DE,4,Hombre,3,56,SecundariaCompleta,3,3,3,2,2,2,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0
2012,20120099,C,3,Mujer,2,37,Superiortecnica completa,3,3,3,3,3,3,0,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,3,1
2012,20120100,DE,4,Mujer,2,43,Inicial,3,3,3,3,3,3,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1
2012,20120101,DE,4,Mujer,3,52,SecundariaIncompleta,3,3,4,3,3,3,0,0,0,0,0,0,0,0,1,2,2,2,1,1,1,1,0,0
2012,20120102,C,3,Hombre,1,18,SecundariaIncompleta,3,3,3,2,2,2,0,1,1,1,0,0,0,0,1,2,2,1,2,2,2,2,3,1
2012,20120103,C,3,Hombre,2,40,SecundariaCompleta,3,3,3,3,3,3,1,0,0,1,1,0,0,0,1,2,2,1,1,1,1,1,3,1
2012,20120104,AB,2,Hombre,3,45,SecundariaCompleta,3,3,4,2,2,2,0,0,0,0,0,0,0,0,2,2,2,2,1,1,1,1,0,0
2012,20120105,C,3,Mujer,2,30,Superiortecnica completa,2,98,3,3,3,3,0,1,1,0,1,0,0,1,1,2,1,1,1,1,1,1,4,1
2012,20120106,DE,4,Mujer,1,26,SecundariaIncompleta,3,3,3,2,2,2,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
2012,20120107,DE,4,Mujer,1,26,Primaria,2,3,3,2,2,2,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0
2012,20120108,DE,5,Hombre,2,36,SecundariaIncompleta,3,4,98,2,2,2,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,2,1
2012,20120109,AB,2,Hombre,1,27,SuperiorTecnicaincompleta,3,4,4,2,2,2,0,0,0,0,0,0,0,0,2,2,2,2,1,1,1,1,0,0
2012,20120110,DE,4,Mujer,3,55,Ninguna,2,98,3,2,2,2,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0
2012,20120111,DE,4,Hombre,3,54,SecundariaCompleta,98,98,98,2,2,2,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,3,1
2012,20120112,C,3,Hombre,3,54,SecundariaCompleta,3,3,4,3,3,3,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,1
2012,20120113,AB,2,Hombre,1,18,SecundariaCompleta,2,2,2,2,2,3,0,0,0,0,0,0,0,0,1,1,2,2,1,1,1,1,0,0
2012,20120114,C,3,Mujer,3,62,Primaria,2,3,3,3,3,3,0,0,0,0,0,0,0,0,2,2,2,2,2,1,1,1,0,0
2012,20120115,C,3,Hombre,2,30,Superior universitaria incompleta,3,3,4,3,3,3,1,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,2,1
2012,20120116,DE,4,Mujer,1,20,SecundariaCompleta,3,3,3,3,3,3,1,1,1,1,0,0,0,1,1,2,2,1,1,1,1,1,5,1
2012,20120117,C,3,Mujer,2,36,Superior universitaria incompleta,4,4,4,3,3,3,0,0,0,0,0,0,0,0,1,2,2,1,1,1,1,1,0,0
2012,20120118,AB,2,Hombre,3,73,Superior universitaria completa,3,3,3,3,3,3,0,0,0,0,0,0,0,0,1,2,2,1,1,1,1,1,0,0
2012,20120119,DE,4,Hombre,2,42,Inicial,3,3,3,3,3,3,0,0,0,0,0,0,0,0,1,2,2,1,1,1,1,1,0,0
2012,20120120,AB,2,Mujer,3,48,Superior universitaria completa,3,3,3,2,2,2,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0
2012,20120121,DE,4,Hombre,2,34,SecundariaCompleta,3,3,3,2,3,3,0,0,0,0,0,0,0,0,1,2,2,1,1,1,2,1,0,0
2012,20120122,DE,4,Hombre,2,37,SecundariaCompleta,4,4,4,3,2,3,0,0,0,0,0,0,0,1,2,2,2,1,1,1,1,1,1,1
2012,20120123,C,3,Hombre,1,21,SecundariaCompleta,1,1,98,3,3,2,0,0,0,0,0,0,0,0,1,2,2,2,1,1,1,1,0,0
2012,20120124,AB,2,Mujer,1,22,SecundariaCompleta,2,2,3,3,3,3,0,1,1,1,0,0,0,1,1,2,2,1,1,1,1,1,4,1
2012,20120125,C,3,Mujer,2,42,Superior universitaria incompleta,3,4,4,2,2,2,1,1,0,0,0,0,0,0,1,2,1,1,1,1,1,1,2,1
2012,20120126,C,3,Mujer,3,48,Superiortecnica completa,3,4,4,3,3,3,1,1,1,0,0,0,0,0,1,2,2,1,1,1,1,1,3,1
2012,20120127,C,3,Hombre,1,29,SecundariaCompleta,2,3,3,3,2,2,0,0,0,0,0,0,0,0,1,2,2,1,1,1,1,1,0,0
2012,20120128,AB,2,Hombre,3,63,Primaria,3,3,3,2,2,2,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0
2012,20120129,AB,2,Mujer,3,60,Postgrado,3,4,4,3,3,3,0,0,0,0,0,0,0,0,2,2,2,1,1,1,1,1,0,0
2012,20120130,AB,2,Hombre,3,60,Postgrado,3,3,3,2,2,3,0,0,0,0,0,0,0,0,2,2,1,1,1,1,1,1,0,0
2012,20120131,AB,2,Mujer,2,36,SecundariaCompleta,3,4,4,3,3,3,0,1,1,0,0,0,0,0,1,2,2,1,1,1,1,1,2,1
2012,20120132,AB,2,Mujer,1,26,Superior universitaria incompleta,2,3,4,2,2,2,1,1,1,1,0,1,1,1,1,2,2,1,1,1,1,1,7,1
2012,20120133,C,3,Mujer,1,29,Superiortecnica completa,3,4,4,2,3,3,1,1,1,0,0,0,0,1,2,2,2,1,1,1,1,1,4,1
2012,20120134,AB,2,Hombre,1,20,Superior universitaria incompleta,2,3,4,2,2,2,1,1,1,1,1,0,0,0,1,2,2,2,1,1,1,1,5,1
2012,20120135,AB,2,Mujer,3,49,SecundariaCompleta,4,4,4,3,3,3,0,0,0,1,0,0,0,0,1,2,2,1,1,1,1,1,1,1
2012,20120136,DE,5,Hombre,2,35,SecundariaCompleta,3,3,4,2,2,2,0,0,0,0,0,0,0,0,1,2,2,1,1,1,1,1,0,0
2012,20120137,AB,2,Hombre,3,66,SecundariaIncompleta,3,3,4,2,2,2,0,0,0,0,0,0,0,0,1,2,2,1,98,1,1,1,0,0
2012,20120138,AB,2,Hombre,2,35,Superior universitaria completa,3,4,4,3,2,2,1,0,0,0,0,0,0,0,2,2,2,1,1,1,1,1,1,1
2012,20120139,AB,2,Hombre,2,37,Postgrado,3,4,4,2,2,2,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0
2012,20120140,C,3,Hombre,1,19,SuperiorTecnicaincompleta,1,3,3,2,3,3,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0
2012,20120141,C,3,Mujer,1,18,SecundariaCompleta,2,3,4,3,2,3,0,0,0,0,0,0,0,0,1,2,1,1,1,1,1,1,0,0
2012,20120142,AB,2,Mujer,2,32,Postgrado,3,3,3,2,2,2,1,1,0,1,1,0,0,0,1,2,2,2,2,1,1,1,4,1
2012,20120143,AB,2,Mujer,3,52,Postgrado,3,4,4,3,3,3,0,1,1,1,1,0,0,1,1,2,2,1,1,1,1,1,5,1
2012,20120144,DE,4,Hombre,1,25,SecundariaCompleta,2,2,3,2,2,2,0,0,0,0,0,0,0,0,1,2,2,1,2,1,1,1,0,0
2012,20120145,AB,2,Hombre,1,28,Superiortecnica completa,3,4,4,2,2,3,0,0,0,0,0,0,0,0,1,2,2,1,1,1,1,1,0,0
2012,20120146,DE,5,Hombre,2,34,Primaria,3,3,3,2,2,2,0,0,0,0,1,0,0,1,2,2,2,1,1,1,1,1,2,1
2012,20120147,AB,2,Mujer,3,49,Superiortecnica completa,3,4,4,3,3,3,1,1,1,0,0,0,0,0,1,2,2,1,1,1,1,1,3,1
2012,20120148,C,3,Hombre,1,20,SuperiorTecnicaincompleta,3,4,4,2,2,2,0,0,0,0,0,0,0,0,2,2,2,1,1,1,1,1,0,0
2012,20120149,C,3,Hombre,3,67,SecundariaCompleta,2,3,4,2,3,3,0,0,0,0,0,0,0,0,2,2,2,1,1,1,1,1,0,0
2012,20120150,C,3,Mujer,2,39,Superiortecnica completa,3,4,4,3,3,3,0,0,0,0,1,0,1,0,1,98,98,1,1,1,1,1,2,1
2012,20120151,C,3,Mujer,1,26,Superiortecnica completa,3,4,4,3,3,3,1,0,0,1,1,0,0,0,2,2,2,1,1,1,1,1,3,1
2012,20120152,AB,2,Mujer,2,35,SuperiorTecnicaincompleta,3,4,4,2,2,2,0,1,0,0,0,0,0,1,2,2,2,1,1,1,1,1,2,1
2012,20120153,AB,2,Hombre,1,23,Superior universitaria incompleta,3,4,4,2,2,2,0,0,0,0,0,0,0,0,2,2,2,1,1,1,1,1,0,0
2012,20120154,AB,2,Mujer,1,19,Superior universitaria incompleta,2,3,4,3,2,2,1,1,1,0,0,0,0,0,2,2,2,1,1,1,1,1,3,1
2012,20120155,AB,2,Hombre,3,65,Superior universitaria completa,3,3,4,3,3,3,1,0,0,0,0,0,0,0,2,2,2,1,1,1,1,1,1,1
2012,20120156,AB,2,Hombre,2,30,Superior universitaria completa,3,4,4,2,2,2,1,0,0,0,0,0,0,0,1,2,2,1,1,1,1,1,1,1
2012,20120157,AB,2,Mujer,2,42,Superior universitaria completa,3,3,4,3,3,3,0,0,0,0,0,0,0,0,2,2,2,1,1,1,1,1,0,0
2012,20120158,AB,2,Mujer,3,57,Superior universitaria completa,3,3,4,3,3,3,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0
2012,20120159,AB,2,Hombre,3,67,Postgrado,3,3,4,2,2,2,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0
2012,20120160,AB,2,Mujer,3,61,Superior universitaria completa,2,3,4,3,3,3,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0
2012,20120161,AB,2,Mujer,2,36,Superior universitaria completa,2,2,3,3,3,3,0,1,0,1,0,0,0,0,2,2,2,1,1,1,1,1,2,1
2012,20120162,AB,2,Hombre,1,22,Superior universitaria incompleta,2,2,3,3,2,3,1,1,0,0,0,0,0,0,1,2,1,1,1,1,2,1,2,1
2012,20120163,AB,1,Hombre,3,56,Superior universitaria completa,3,3,3,3,3,3,0,0,0,0,0,0,0,0,1,2,1,1,1,1,1,1,0,0
2012,20120164,AB,2,Mujer,3,69,Superiortecnica completa,3,3,3,3,3,3,0,0,0,0,0,0,0,0,1,2,2,1,1,1,1,1,0,0
2012,20120165,AB,1,Mujer,3,48,Superior universitaria completa,3,4,4,2,3,3,0,1,0,0,0,0,0,0,2,2,2,1,1,1,1,1,1,1
2012,20120166,AB,2,Hombre,3,52,Postgrado,2,2,3,3,3,3,0,0,0,0,0,0,0,0,2,2,2,1,1,1,1,1,0,0
2012,20120167,AB,2,Hombre,2,37,SecundariaCompleta,3,3,3,3,3,3,0,0,0,0,0,0,0,0,1,2,2,1,1,1,1,1,0,0
2012,20120168,AB,2,Mujer,1,23,Superior universitaria incompleta,4,4,4,3,3,3,1,1,1,1,1,0,0,0,2,2,2,2,1,1,1,1,5,1
2012,20120169,AB,1,Mujer,3,48,Superior universitaria completa,2,3,4,3,3,3,0,0,0,0,0,0,0,0,1,2,2,1,1,1,1,1,0,0
2012,20120170,AB,1,Mujer,3,52,Postgrado,3,4,4,3,3,3,0,0,0,0,0,0,0,0,1,2,1,1,1,1,1,1,0,0
